question,answer,category
"What is the minimum attendance requirement?","Students must maintain the minimum attendance percentage specified by the institution. Students should check their academic regulations for the exact requirement.","Attendance"
"How can I check my attendance?","Students can check their attendance through the student portal or by contacting their respective department.","Attendance"
"What happens if my attendance is low?","Students with attendance below the required percentage may be restricted from appearing in examinations according to institutional rules.","Attendance"
"Can attendance shortage be excused?","Attendance shortage may be considered only under valid circumstances and according to institutional rules. Students should contact their department for the applicable procedure.","Attendance"
"Where can I find the exam timetable?","The examination timetable is generally published through the official university or college portal. Students should check official notices for updates.","Examinations"
"How can I download my admit card?","Students can download their admit card from the official student or examination portal when it becomes available.","Examinations"
"What should I do if my admit card has an error?","Students should immediately contact the examination department or their college administration if any information on the admit card is incorrect.","Examinations"
"When are examination results released?","Results are released after the examination evaluation process is completed. Students should check the official examination portal for announcements.","Results"
"Where can I check my results?","Students can check their examination results through the official university or examination portal.","Results"
"What should I do if my result is incorrect?","Students should contact the examination department and follow the official procedure for result verification or correction.","Results"
"How can I apply for a scholarship?","Students should check the official scholarship portal or institution notices for available scholarships, eligibility requirements, and application procedures.","Scholarships"
"Who is eligible for scholarships?","Scholarship eligibility depends on the specific scholarship. Requirements may include academic performance, income criteria, category, or other conditions.","Scholarships"
"What documents are required for a scholarship?","Common scholarship documents may include academic records, identity proof, income certificate, bank details, and other documents specified by the scholarship authority.","Scholarships"
"Where can I pay my college fees?","Students can pay fees through the official fee portal or through the payment method specified by their institution.","Fees"
"What should I do if my fee payment failed?","Check whether the amount was deducted from your account. If it was deducted but the payment status is unsuccessful, contact the institution's accounts or fee department.","Fees"
"How can I get a fee receipt?","Fee receipts can generally be downloaded from the student portal after successful payment.","Fees"
"How can I borrow books from the library?","Students generally need a valid student or library ID to issue books according to library rules.","Library"
"How can I renew a library book?","If renewal is permitted, students can renew books through the library portal or by contacting the library staff before the due date.","Library"
"What happens if I return a library book late?","Late returns may result in a fine according to the library's rules.","Library"
"How can I apply for hostel accommodation?","Students should apply through the official hostel or student portal during the designated application period.","Hostel"
"What documents are required for hostel admission?","Hostel admission may require identity proof, admission documents, photographs, fee receipts, and other documents specified by the institution.","Hostel"
"Who should I contact for hostel problems?","Students should contact the hostel administration, warden, or designated hostel office for accommodation-related issues.","Hostel"
"What should I do if I lose my student ID card?","Report the lost ID card to the appropriate college office and follow the procedure for obtaining a replacement card.","ID Card"
"How can I get a duplicate ID card?","Students can request a duplicate ID card through the designated college administration or student services office.","ID Card"
"How can I get a bonafide certificate?","Students can request a bonafide certificate through the student services office or the institution's designated online portal.","Certificates"
"How can I get a migration certificate?","Students should contact the university administration or examination department for the official migration certificate procedure.","Certificates"
"How can I get a transfer certificate?","Students can apply for a transfer certificate through the appropriate college or university administration office.","Certificates"
"When does placement training start?","Placement training schedules vary by institution. Students should check placement cell announcements for training dates.","Placements"
"How can I register for campus placements?","Students generally register through the placement cell or the designated placement portal when registration opens.","Placements"
"Who can I contact about placement opportunities?","Students should contact their institution's placement and training cell for information about campus recruitment opportunities.","Placements"
"How can I find internship opportunities?","Students can look for internships through the college placement cell, official company career pages, internship platforms, and professional networks.","Internships"
"Does the college provide internship support?","Many institutions provide internship guidance through their training and placement cell or department. Students should check their institution's current policy.","Internships"
"Where can I find the academic calendar?","The academic calendar is generally published on the official university or college website or student portal.","Academic Calendar"
"How can I contact the administration?","Students should use the official contact details provided by their college or university website for administrative assistance.","Administration"
"How can I contact my department?","Students can contact their department office, faculty coordinator, or official department communication channel.","Administration"
"Where can I find official student notices?","Official notices are generally published on the university or college website, student portal, notice board, or official communication channels.","Notices"
